Age,Income,Spending
35,75000,5000
28,45000,2500
52,120000,8000
42,95000,6500
31,50000,3000
65,140000,9500
25,35000,1500
48,105000,7000
38,70000,4500
55,130000,8500
22,30000,1000
59,125000,8200
45,90000,6000
29,48000,2800
61,135000,9000
33,65000,4000
26,40000,2000
50,115000,7500
39,75000,5200
64,130000,8800
24,32000,1200
56,120000,8100
44,88000,5800
30,52000,3200
62,138000,9200
32,60000,3800
27,42000,2200
49,110000,7200
37,72000,4800
58,128000,8700
23,28000,900
54,118000,7800
43,92000,6100
28,50000,3100
63,136000,9100
34,68000,4100
25,38000,1800
51,112000,7400
40,78000,5100
60,132000,8900
21,26000,800
57,122000,7900
46,94000,6200
29,48000,2900
64,140000,9300
35,70000,4200
26,40000,2100
52,114000,7600
41,80000,5300
59,128000,8600
22,30000,1100
55,120000,8000
45,90000,5900
31,54000,3300
62,138000,9200
33,62000,3900
27,44000,2300
50,110000,7300
38,74000,4900
61,134000,9000
24,34000,1300
53,116000,7700
44,88000,5900
30,50000,3200
63,136000,9100
32,64000,4000
28,46000,2600
49,108000,7100
39,76000,5000
58,126000,8500
23,32000,1000
56,118000,7800
43,86000,5700
29,52000,3100
65,142000,9400
34,66000,4000
25,36000,1600
51,112000,7500
41,82000,5400
60,130000,8700
22,28000,900
54,116000,7600
46,92000,6000
31,56000,3400
62,140000,9300
35,72000,4300
26,42000,2200
52,112000,7400
40,78000,5100
59,128000,8500
24,32000,1200
55,118000,7900
44,88000,5800
